uncertaincheck,casrn,name,average_mass,endpoint,new_rfc,source,subsource,type,duration,species,dxw,daf,pod_hec,interspecies,intraspecies,subtochronic,loaectonoaec,allufs,toxval_numeric,toxval_units,value_ppb,toxicological_effect,study_type,source_url,subsource_url,entry_modified_br,additional_notes_br,long_ref,
,108-90-7,Chlorobenzene,113,developmental,350,ECHA IUCLID,Developmental Toxicity Teratogenicity,NOAEC,.,rat,0,1,104947,3,10,10,1,300,2716,mg/m3,587707,developmental,developmental,https://echa.europa.eu/,https://echa.europa.eu/registration-dossier/-/registered-dossier/21683/7/9/3?documentUUID=ea0fa307-1e05-45a3-a938-5a0e6e4e8cdb,1,.,.,
,108-90-7,Chlorobenzene,113,hematological,174,ATSDR Tox Profile,NIOSH 1977,NOAEC,subchronic,ratmouse,0,1,52083,3,10,10,1,300,,.,250000,.,.,.,.,,.,.,
,108-90-7,Chlorobenzene,113,hepatic,11,PPRTV (CPHEA),PPRTV Summary,RfCp,chronic,rat,,,,,10,,,,0,mg/m3,11,"Increased weight and hepatocellualr hypertrophy Increased weights, tubule dilation, inflammation of the interstitial cells, and regeneration of the epithelium in males",reproduction developmental,https://www.epa.gov/pprtv/basic-information-about-provisional-peer-reviewed-toxicity-values-pprtvs,https://cfpub.epa.gov/ncea/pprtv/chemicalLanding.cfm?pprtv_sub_id=1635,,.,.,
,108-90-7,Chlorobenzene,113,renal,11,PPRTV (CPHEA),PPRTV Summary,RfCp,chronic,ratmouse,,,,,10,,,,0,mg/m3,11,.,.,.,.,,.,.,
,108-90-7,Chlorobenzene,113,reproductive,217,Cal OEHHA,Cal OEHHA Export,REL,chronic,human,,,,,,,,,1,mg/m3,217,Alimentary system (liver); kidney; reproductive system,,https://oehha.ca.gov/chemicals,https://oehha.ca.gov/chemicals/chlorobenzene,,,,
,108-90-7,Chlorobenzene,113,systemic,3,ECHA POC,TSCA POC ECHA,LOAEC,.,ratmouse,0,1,8929,3,10,10,10,3000,,.,50000,.,.,.,.,,.,.,
,109-66-0,Pentane,72,systemic,3389,PPRTV (CPHEA),PPRTV Summary,RfCp,subchronic,rat,,,,,10,,,,10,mg/m3,3389,no effects,subchronic,https://www.epa.gov/pprtv/basic-information-about-provisional-peer-reviewed-toxicity-values-pprtvs,https://cfpub.epa.gov/ncea/pprtv/chemicalLanding.cfm?pprtv_sub_id=1842,,McKee et al. (1998) https://cfpub.epa.gov/ncea/pprtv/documents/Pentanen.pdf,.,
,110-54-3,n-hexane,86,hepatic,79,ATSDR Tox Profile,Bio/Dynamics 1978,NOAEC,subchronic,rodent,1,1,23625,3,10,10,1,300,,.,27000,.,.,.,.,,.,.,
,110-54-3,n-hexane,86,metabolic,76,ATSDR Tox Profile,Bio/Dynamics 1978,NOAEC,subchronic,rodent,1,1,22750,3,10,10,1,300,,.,26000,.,.,.,.,,.,.,
,110-54-3,n-hexane,86,musculoskeletal,1528,ATSDR Tox Profile,IRDC 1981,NOAEC,subchronic,rodent,1,1,458334,3,10,10,1,300,,.,500000,.,.,.,.,,.,.,
,110-54-3,n-hexane,86,neurological,199,IRIS,Huang et al. 1989,RfC,chronic,rodent,,,,,10,,,,199,ppb,199,.,.,.,.,,.,.,
,110-54-3,n-hexane,86,renal,1528,ATSDR Tox Profile,IRDC 1981,NOAEC,subchronic,rodent,1,1,458334,3,10,10,1,300,,.,500000,.,.,.,.,,.,.,
,110-54-3,n-hexane,86,reproductive,236,ATSDR Tox Profile,Litton Bionetics 1980,NOAEC,subchronic,rodent,0,1,70714,3,10,10,1,300,,.,396000,.,.,.,.,,.,.,
